temperature,rainfall,soil_moisture,coating_thickness,soil_pH,nutrient_release_rate,release_category
24.36350297118406,8.833466762087571,0.37926468560789806,0.2935184325666913,5.870265857677239,63.997010519987576,medium
38.767857660247905,11.552931858057757,0.31443854653764813,0.9518656988907801,6.583801894756716,70.76863937868318,medium
33.29984854528513,25.534100145505708,0.2238110465145311,0.7021664424571343,7.245891671752816,54.66684396487409,slow
29.966462104925917,9.50766015468833,0.4255180078827795,0.4679244917256689,6.964449772819123,74.94036240085454,medium
18.900466011060914,5.084782400582775,0.3738924690215517,0.3114176581307098,7.113122295722899,60.000399740780765,medium
18.899863008405067,16.704037873750504,0.1650467757379565,0.8352201514162367,6.817566733421435,37.87343205917257,slow
16.452090304204987,28.08464322482343,0.46437087379753705,0.6960582047428108,6.884553129035705,48.06230473977688,slow
36.654403644373375,20.88089390024919,0.42901489716926766,0.6267688735810573,7.198391303130639,65.32432780547758,medium
30.02787529358022,17.101835102680948,0.4799199653167696,0.9151140664407662,5.999336017718372,63.528399565680566,medium
32.70181444490114,2.9152948131230563,0.39028780335534397,0.8308777689796247,6.478849927286281,63.240577188453784,medium
15.51461235739506,18.45021680097509,0.345366078374316,0.321339903786201,5.9424188836392045,50.4574057510688,slow
39.247746304049855,29.701615503127897,0.26729721451624755,0.4493776542364386,7.475336015993294,58.796089648283996,slow
35.81106602001054,4.202520457095721,0.4730913933416053,0.3987913118515726,7.3881186793732265,75.005393159651,medium
20.308477766956905,15.549889570912102,0.4464255558001634,0.7951570340581415,5.578853622737012,43.150429196603724,slow
19.545624180177516,26.321192157838663,0.11808746804247577,0.22682594778862353,6.911150345031377,42.90889030509781,slow
19.585112746335845,22.223058532626133,0.11054678979890081,0.6559117478970533,7.350496634831332,46.92633606300832,slow
22.60605607398844,20.91047222985804,0.25058534675121985,0.8099669485925525,5.861150690254667,51.330638872127714,slow
28.11891079080595,21.07452251961328,0.4242213323127332,0.9014125094093997,6.635890461105259,57.770838869658576,slow
25.798625466052894,10.784734536592655,0.4949104517259778,0.47366539897272597,7.330976595176084,61.38321829451151,medium
22.28072850495105,8.807755327934801,0.1601667564414113,0.8570058437376102,5.5678919571715975,48.36856488647871,slow
30.296322368059485,24.28083466435541,0.3376522861408541,0.2885053895641658,6.89484053449368,64.0817558856435,medium
18.487346516301045,24.30340184037542,0.2523563426524086,0.8771618333876146,6.094698014745101,37.86561362128414,slow
22.303616213380455,26.012169557403112,0.4879657591258413,0.30199092986558596,7.348792390753061,65.95247696205233,medium
24.159046082342293,27.397216576694138,0.4368475692542835,0.5178298324482938,7.4421164903307355,60.18716740803519,medium
26.4017496054259,15.340271965828133,0.43533148188445514,0.8378362926236429,7.388532978226868,56.591379017572955,slow
34.62939903482534,15.045488840615988,0.2874772639179881,0.319933941879019,6.448428433314928,69.14827830490054,medium
19.991844553958995,23.948855369003255,0.26592780093506607,0.3834011161861132,7.224085301978627,52.53871300023729,slow
27.85586096034029,19.498917923332954,0.20936282877228252,0.7778020547144531,7.189098797070141,44.620699912199484,slow
29.810364221551062,21.0590063177311,0.12255019866037085,0.7760292292368596,6.138200946486512,50.94623290195061,slow
16.161260317999943,23.87378008308303,0.44588895050202126,0.7129181063082379,7.1578309483013545,45.10851543721082,slow
30.18862129753596,26.70016025452699,0.425160403652031,0.7551587555736801,5.574015269430985,54.45485980954017,slow
19.263103092182288,10.139854705546075,0.49988706931445226,0.634179554678077,6.692539756964106,56.15491861244658,slow
16.62628982463199,11.26748857919832,0.49865473482956213,0.4014392471255622,5.960017674575406,65.218940039663,medium
38.722138431333335,2.81945819522607,0.322172682241051,0.47655679480313556,5.741133771554558,77.47342370867948,medium
39.14080082686398,17.34840422988522,0.40759496607220425,0.34527817344114053,5.653906403258418,72.74818506626882,medium
35.20993370291153,1.0782682139022626,0.4779062919529712,0.9267604490669028,6.892577551756279,71.70204155669508,medium
