crop_type,soil_pH,N,P,K,nutrient_release_rate,fertilizer_type,fertilizer_amount,fertilizer_timing
maize,5.870265857677239,1.9486349393533224,1.1472228091968295,1.8036188205218875,63.997010519987576,DAP,124.14077854518858,22.447354600697373
maize,6.583801894756716,2.084187267521086,1.0574047751480475,0.9286528062012382,70.76863937868318,DAP,127.8107335547073,18.608304402756602
rice,7.245891671752816,1.3095968581703996,0.35981043333952983,0.9446493493593036,54.66684396487409,Urea,112.6567195683971,22.58863409066289
wheat,6.964449772819123,1.8081515907439962,1.3846959963124497,1.9824453733602785,74.94036240085454,DAP,123.408802658963,16.372717952050998
rice,7.113122295722899,1.208472480889549,1.3912682304100754,1.4018818745490211,60.000399740780765,DAP,105.81056997604064,23.070162948676412
maize,6.817566733421435,1.55100924393728,1.2362556761161227,1.2501064329088947,37.87343205917257,Urea,103.24313737568895,30.15674626086654
rice,6.884553129035705,1.4632696930697247,0.30843504457634296,1.7410434936830792,48.06230473977688,Urea,125.68785366445823,28.303728808709174
wheat,7.198391303130639,0.8537742902877088,0.368736301293148,0.8564645413717064,65.32432780547758,DAP,111.98034816844418,18.41270187193601
maize,5.999336017718372,1.2741575206712616,0.5702684427221877,1.086692149434171,63.528399565680566,DAP,114.04599442894536,21.993435247131064
rice,6.478849927286281,2.427644550964702,0.457619289773888,0.8284426807813348,63.240577188453784,DAP,130.2320431894854,20.78441893462813
wheat,5.9424188836392045,0.9971605154298842,0.7786032356444753,1.6626573545419703,50.4574057510688,Urea,119.27276388179195,24.6783098654128
maize,7.475336015993294,0.7676074725589774,1.4071476697053475,1.317358953016349,58.796089648283996,Urea,113.8380731116211,23.164824813582804
wheat,7.3881186793732265,1.3371612432478706,0.8664725210363979,1.4541201122241127,75.005393159651,DAP,129.87601181075976,18.313694559354595
maize,5.578853622737012,2.080675471720296,0.31608315171859874,0.8036915997430505,43.150429196603724,Urea,108.83847968949668,28.11240745260203
rice,6.911150345031377,1.6642964595599445,0.6392948274945144,0.7523604822037042,42.90889030509781,Urea,105.65660865332855,25.012390524079038
wheat,7.350496634831332,1.861949654476489,0.35351389004755385,1.181399406372702,46.92633606300832,Urea,111.17908904815243,24.422476366764585
maize,5.861150690254667,0.8793896963493544,0.3435451471362026,1.580105198548523,51.330638872127714,Urea,127.04440171110527,27.57254488939705
wheat,6.635890461105259,1.737896386015443,0.6308638237146627,1.2403836120322564,57.770838869658576,Urea,110.6403294429858,22.227603404140748
wheat,7.330976595176084,1.1470007898229475,0.6307348064147345,0.4522330840730698,61.38321829451151,DAP,121.57872029362845,22.197063307682342
rice,5.5678919571715975,2.1686067319095352,1.2445519231219249,1.7896824101124622,48.36856488647871,Urea,118.09087445023415,27.59876315814276
wheat,6.89484053449368,1.7585976120214724,1.4698015833373343,0.5034990296242106,64.0817558856435,DAP,119.79015619606479,21.70235937902859
maize,6.094698014745101,0.8977125555505918,0.7454485126679979,1.9293191739532038,37.86561362128414,Urea,107.2072319877713,29.733361175558834
maize,7.348792390753061,0.6292333596881723,0.8146642546332463,0.4402271332436364,65.95247696205233,DAP,110.90429111999308,22.003412269871813
maize,7.4421164903307355,0.5852664185740655,1.3137473235432258,1.511120729809134,60.18716740803519,DAP,118.71716298423259,17.710522255795443
maize,7.388532978226868,1.2428171353002815,0.621766824114616,0.5315313019388507,56.591379017572955,Urea,108.10081741777779,22.042685984407044
rice,6.448428433314928,1.031702273308627,0.4876581652841375,1.8570825270962232,69.14827830490054,DAP,118.84837130385395,20.19272810152902
wheat,7.224085301978627,1.792180246925016,1.3237075480843805,1.1430931779608686,52.53871300023729,Urea,114.83009608475092,27.01367471404413
rice,7.189098797070141,1.4986676699572365,0.3558007037280786,0.6200380397072247,44.620699912199484,Urea,109.77259608770237,26.7459811456517
wheat,6.138200946486512,1.0320385560107614,1.0436393282392988,0.9453051196637546,50.94623290195061,Urea,115.27173542679311,23.026697205902625
wheat,7.1578309483013545,0.7984755559003522,0.9743914169601682,0.6637194805548192,45.10851543721082,Urea,111.67367262487791,24.83127326961575
wheat,5.574015269430985,0.7543995253748992,0.715104537002033,0.672931058491344,54.45485980954017,Urea,126.93252244596476,25.431264464044098
rice,6.692539756964106,2.2293207842808354,0.6782274253168308,1.9169733122743078,56.15491861244658,Urea,121.77137277177512,22.71797725148225
wheat,5.960017674575406,0.9869559368097345,1.2262292714179455,1.112393779655661,65.218940039663,DAP,121.68988078391088,20.419917896520428
rice,5.741133771554558,1.8034212958219367,0.40370953291505574,1.6620836222485753,77.47342370867948,DAP,137.84891002383347,17.988033274940797
maize,5.653906403258418,2.1213718559725327,0.5841411711736624,1.4233688978842909,72.74818506626882,DAP,131.43758391101244,12.372497114732198
maize,6.892577551756279,1.7281626223694722,1.1789384782057077,1.4822821797414276,71.70204155669508,DAP,132.18787602699754,22.490122556007638
wheat,6.1797499275361325,2.2191304632938915,0.957984700471709,0.6107095015552617,62.75662175913339,DAP,121.13658173646351,19.71086580215786
rice,6.949533543057523,1.284787443056949,0.4535858502403036,0.7746951149047772,51.67561960069482,Urea,109.47534585828762,24.9811868587387
maize,5.630712681597885,2.4124443812978966,1.358562737138472,1.658800536247099,65.01626501642102,DAP,122.7872112176488,17.08572646808115
rice,6.1305806756612204,0.7662900083561939,0.7721374158763099,1.9532259303596526,44.922378729370806,Urea,112.24696333049415,25.678204160378684
rice,6.578982584750674,0.7042990593150762,1.2934420503866073,0.8202810281578428,65.9645447242047,DAP,124.01744124872998,22.70001267546878
wheat,7.081446329677927,1.817384292414887,1.2452556186332504,0.8345100236016638,64.40627668075489,DAP,120.66634577469965,16.84578263644178
maize,6.13750500586414,2.3856622828265235,1.0493105357660737,1.1566354124974478,46.16687346768745,Urea,113.75846175285106,28.402338134072043
wheat,6.751782752874018,2.117766923272656,0.8933773575541115,1.9741445005687006,72.1382364996419,DAP,127.87921319881409,17.81113685764266
wheat,7.2719554964723745,0.6528337188761029,1.4754610084581083,0.8303343133223537,67.84117603213963,DAP,118.2322189573499,20.621976070798496
